[OK] sig_x=1.8488e-02  sig_y=1.8496e-02  sig_x=1.3328e-03  sig_y=1.3287e-03  X=[1.31 0.75 0.441 0.329]
[OK] sig_x=4.2760e-03  sig_y=4.2737e-03  sig_x=8.5473e-04  sig_y=8.5157e-04  X=[1.27 0.114 0.556 0.709]
[OK] sig_x=3.3170e-03  sig_y=3.3382e-03  sig_x=5.1629e-03  sig_y=5.1729e-03  X=[1.34 0.823 0.818 0.733]
[OK] sig_x=1.2195e-02  sig_y=1.2123e-02  sig_x=2.1612e-03  sig_y=2.1409e-03  X=[0.54 0.914 1.3 0.709]
[OK] sig_x=9.0433e-03  sig_y=9.1022e-03  sig_x=1.6492e-03  sig_y=1.6545e-03  X=[1.24 0.266 0 0.171]
[OK] sig_x=2.9002e-02  sig_y=2.8818e-02  sig_x=3.4609e-03  sig_y=3.4405e-03  X=[1.32 1.26 0 0.182]
[OK] sig_x=2.9019e-03  sig_y=2.8634e-03  sig_x=1.6070e-03  sig_y=1.6181e-03  X=[0.706 0.849 0.774 1.4]
[OK] sig_x=6.1130e-03  sig_y=6.1338e-03  sig_x=3.1480e-03  sig_y=3.1450e-03  X=[0.566 0.793 0.509 0]
[OK] sig_x=1.6323e-02  sig_y=1.6330e-02  sig_x=2.8118e-03  sig_y=2.8067e-03  X=[0.394 0.963 0 0.53]
[OK] sig_x=1.4584e-02  sig_y=1.4616e-02  sig_x=3.7453e-04  sig_y=3.7643e-04  X=[1.4 0.206 0.212 0.563]
[OK] sig_x=2.8532e-02  sig_y=2.8379e-02  sig_x=9.1979e-03  sig_y=9.1496e-03  X=[1.33 0.946 1.4 0]
[OK] sig_x=1.4702e-02  sig_y=1.4739e-02  sig_x=3.6054e-04  sig_y=3.6210e-04  X=[1.4 0 0 0.581]
[OK] sig_x=2.4067e-02  sig_y=2.4033e-02  sig_x=1.2209e-02  sig_y=1.2188e-02  X=[0.254 0.78 0.314 1.4]
[OK] sig_x=6.8248e-03  sig_y=6.7789e-03  sig_x=7.7098e-04  sig_y=7.6165e-04  X=[0.932 0.885 1.04 0.347]
[OK] sig_x=9.5035e-03  sig_y=9.5490e-03  sig_x=9.2589e-03  sig_y=9.2942e-03  X=[1.4 0.193 0 1.15]
[OK] sig_x=1.8973e-03  sig_y=1.8814e-03  sig_x=2.7450e-03  sig_y=2.7550e-03  X=[0.859 1.03 1.07 0.419]
[OK] sig_x=5.0426e-03  sig_y=5.0070e-03  sig_x=1.1983e-03  sig_y=1.2068e-03  X=[1.1 0.914 0.957 0]
[OK] sig_x=1.8562e-02  sig_y=1.8537e-02  sig_x=3.9947e-03  sig_y=3.9836e-03  X=[0.298 0.968 0.835 0]
[OK] sig_x=4.5303e-03  sig_y=4.4902e-03  sig_x=8.7873e-04  sig_y=8.8316e-04  X=[1.11 0.769 0.969 0.459]
[OK] sig_x=2.5083e-02  sig_y=2.5006e-02  sig_x=1.7055e-02  sig_y=1.6997e-02  X=[0.596 1.1 0.352 1.36]
[OK] sig_x=2.1339e-03  sig_y=2.1494e-03  sig_x=3.3146e-03  sig_y=3.3069e-03  X=[0.678 0.703 0.37 0.557]
[OK] sig_x=1.0620e-02  sig_y=1.0649e-02  sig_x=6.7230e-03  sig_y=6.7310e-03  X=[0.518 1 1.06 1.35]
[OK] sig_x=1.6290e-02  sig_y=1.6297e-02  sig_x=2.6981e-03  sig_y=2.6942e-03  X=[0.986 0.853 0.497 0.131]
[OK] sig_x=4.5433e-03  sig_y=4.5296e-03  sig_x=1.1041e-03  sig_y=1.1123e-03  X=[1.32 0.313 0.74 0.536]
[OK] sig_x=1.1056e-02  sig_y=1.1052e-02  sig_x=3.5417e-03  sig_y=3.5319e-03  X=[0.525 0.851 0.607 0.518]
[OK] sig_x=1.9180e-02  sig_y=1.9207e-02  sig_x=8.4579e-03  sig_y=8.4645e-03  X=[1.25 0.846 1.11 1.4]
[OK] sig_x=1.3847e-02  sig_y=1.3887e-02  sig_x=1.1317e-03  sig_y=1.1295e-03  X=[1.36 0.0959 0.394 0.343]
[OK] sig_x=7.3529e-03  sig_y=7.3682e-03  sig_x=2.1935e-03  sig_y=2.1867e-03  X=[0.793 0.798 0.199 0.593]
[OK] sig_x=1.6015e-02  sig_y=1.5960e-02  sig_x=3.5519e-03  sig_y=3.5332e-03  X=[0.36 0.914 1.1 0.648]
[OK] sig_x=7.6040e-03  sig_y=7.5447e-03  sig_x=1.2613e-03  sig_y=1.2442e-03  X=[0.951 0.844 1.13 0]
[OK] sig_x=9.7138e-03  sig_y=9.7034e-03  sig_x=1.4703e-03  sig_y=1.4604e-03  X=[1.13 0.704 0.769 0.0363]
[OK] sig_x=2.8947e-03  sig_y=2.8555e-03  sig_x=2.1330e-03  sig_y=2.1450e-03  X=[0.223 1.07 1.21 0.443]
[OK] sig_x=9.5326e-03  sig_y=9.4260e-03  sig_x=5.0467e-03  sig_y=4.9852e-03  X=[1.15 0.218 0 1.4]
[OK] sig_x=9.5060e-03  sig_y=9.5375e-03  sig_x=5.7878e-04  sig_y=5.7227e-04  X=[1.27 0.393 0.0911 0.587]
[OK] sig_x=3.0839e-03  sig_y=3.0619e-03  sig_x=1.8854e-03  sig_y=1.8973e-03  X=[0.982 0.716 0.731 1.4]
[OK] sig_x=1.2845e-02  sig_y=1.2824e-02  sig_x=3.8086e-03  sig_y=3.7957e-03  X=[0.824 0.762 0.853 0]
[OK] sig_x=1.4371e-02  sig_y=1.4398e-02  sig_x=1.1610e-03  sig_y=1.1576e-03  X=[1.34 0.427 0.471 0.293]
[OK] sig_x=2.6157e-03  sig_y=2.5833e-03  sig_x=1.6683e-03  sig_y=1.6800e-03  X=[1.03 0.905 1.12 0]
[OK] sig_x=2.0365e-03  sig_y=2.0102e-03  sig_x=3.6693e-03  sig_y=3.6782e-03  X=[0.422 1.14 1.06 0.383]
[OK] sig_x=2.3506e-03  sig_y=2.3577e-03  sig_x=1.5477e-03  sig_y=1.5403e-03  X=[1.14 0.271 0.136 0.59]
[OK] sig_x=1.4040e-03  sig_y=1.3936e-03  sig_x=2.8325e-03  sig_y=2.8258e-03  X=[1.01 0.167 0.661 0]
[OK] sig_x=1.9731e-02  sig_y=1.9690e-02  sig_x=4.2592e-03  sig_y=4.2586e-03  X=[1.4 1.3 0 0.712]
[OK] sig_x=8.0394e-03  sig_y=8.0842e-03  sig_x=1.7333e-03  sig_y=1.7355e-03  X=[1.12 0.566 0 0.272]
[OK] sig_x=2.0867e-03  sig_y=2.0655e-03  sig_x=2.7714e-03  sig_y=2.7864e-03  X=[1.4 0 0.765 0.597]
[OK] sig_x=9.0974e-03  sig_y=9.1103e-03  sig_x=6.8479e-04  sig_y=6.7702e-04  X=[1.22 0.578 0.453 0.534]
[OK] sig_x=1.6521e-03  sig_y=1.6378e-03  sig_x=2.7798e-03  sig_y=2.7913e-03  X=[1.34 0.747 0.941 0.07]
[OK] sig_x=1.4619e-02  sig_y=1.4675e-02  sig_x=1.1019e-02  sig_y=1.1054e-02  X=[1.36 0.499 0 1.26]
[OK] sig_x=9.0601e-03  sig_y=8.9965e-03  sig_x=7.5960e-04  sig_y=7.6330e-04  X=[0.634 0.693 0.0873 0]
[OK] sig_x=2.2301e-02  sig_y=2.2322e-02  sig_x=2.2050e-03  sig_y=2.2041e-03  X=[1.4 0.376 0 0.325]
