[OK] sig_x=1.9540e-02  sig_y=1.9607e-02  alpha_x=-4.2492e+01  alpha_y=-4.3040e+01  X=[1.4 0.000337 0.752 1.4]
[OK] sig_x=1.2635e-02  sig_y=1.2653e-02  alpha_x=-1.7217e+00  alpha_y=-1.7182e+00  X=[1.4 0.19 0.634 0]
[OK] sig_x=2.8871e-02  sig_y=2.8850e-02  alpha_x=-5.1429e+01  alpha_y=-5.0988e+01  X=[0 1.4 0.514 0]
[OK] sig_x=2.8797e-02  sig_y=2.8791e-02  alpha_x=-8.1676e+01  alpha_y=-8.0761e+01  X=[1.4 1.4 0 0]
[OK] sig_x=6.4665e-03  sig_y=6.4661e-03  alpha_x=3.1831e+00  alpha_y=3.2230e+00  X=[1.4 0.252 0.558 0.643]
[OK] sig_x=2.1774e-02  sig_y=2.1769e-02  alpha_x=-4.2396e+00  alpha_y=-4.2443e+00  X=[1.39 0.865 0.434 0.365]
[OK] sig_x=1.8436e-02  sig_y=1.8413e-02  alpha_x=-7.7995e-01  alpha_y=-7.6184e-01  X=[0.923 1.07 0.609 0.459]
[OK] sig_x=1.5672e-02  sig_y=1.5646e-02  alpha_x=5.3609e+00  alpha_y=5.3986e+00  X=[0.0145 1.15 0.597 0.704]
[OK] sig_x=2.6460e-02  sig_y=2.6399e-02  alpha_x=-1.7920e+01  alpha_y=-1.8080e+01  X=[0 1.05 0 0.457]
[OK] sig_x=2.4626e-02  sig_y=2.4596e-02  alpha_x=-1.8851e+01  alpha_y=-1.9025e+01  X=[1.4 0.639 0.345 0.0585]
[OK] sig_x=2.7269e-02  sig_y=2.7499e-02  alpha_x=-5.3106e+00  alpha_y=-5.3420e+00  X=[0 1.2 0.701 0.301]
[OK] sig_x=2.4641e-02  sig_y=2.4616e-02  alpha_x=6.9287e+00  alpha_y=6.9777e+00  X=[0 1.26 0.611 0.591]
[OK] sig_x=6.1530e-03  sig_y=6.1191e-03  alpha_x=5.5218e+00  alpha_y=5.5198e+00  X=[0.653 0 0.662 0.286]
[OK] sig_x=1.7141e-03  sig_y=1.7170e-03  alpha_x=-6.2687e-01  alpha_y=-6.5207e-01  X=[1.4 0.679 0.928 0.0367]
[OK] sig_x=2.7547e-02  sig_y=2.7567e-02  alpha_x=-3.2138e+01  alpha_y=-3.2347e+01  X=[0.0971 1.4 0.926 0.922]
[OK] sig_x=1.2024e-02  sig_y=1.2042e-02  alpha_x=-1.4627e+01  alpha_y=-1.4744e+01  X=[1.4 1.14 0.979 0.558]
[OK] sig_x=6.6480e-03  sig_y=6.6444e-03  alpha_x=1.7245e+00  alpha_y=1.7542e+00  X=[1.4 0.0787 0.726 0.373]
[OK] sig_x=1.3068e-02  sig_y=1.3081e-02  alpha_x=3.1252e+00  alpha_y=3.1705e+00  X=[1.4 0.496 0.383 0.582]
[OK] sig_x=2.1316e-02  sig_y=2.1285e-02  alpha_x=-2.9110e+01  alpha_y=-2.9200e+01  X=[0 0.845 0.919 0]
[OK] sig_x=1.3875e-02  sig_y=1.3830e-02  alpha_x=9.9464e+00  alpha_y=9.9696e+00  X=[0 0.421 0.594 0.239]
[OK] sig_x=7.7770e-03  sig_y=7.7520e-03  alpha_x=5.9846e+00  alpha_y=6.0053e+00  X=[0.471 1.2 0.133 0.928]
[OK] sig_x=5.6893e-03  sig_y=5.6567e-03  alpha_x=5.0538e+00  alpha_y=5.0514e+00  X=[0.538 0.231 0.678 0.23]
[OK] sig_x=1.9434e-02  sig_y=1.9427e-02  alpha_x=-2.1730e+01  alpha_y=-2.1836e+01  X=[0.0943 0 0.871 0]
[OK] sig_x=4.7704e-03  sig_y=4.7329e-03  alpha_x=3.3273e+00  alpha_y=3.3174e+00  X=[0.785 0.444 0.564 0.276]
[OK] sig_x=1.8652e-03  sig_y=1.8522e-03  alpha_x=1.5134e+00  alpha_y=1.5207e+00  X=[1.4 0.0691 0.329 0.89]
[OK] sig_x=9.7653e-03  sig_y=9.7351e-03  alpha_x=3.3964e+00  alpha_y=3.4188e+00  X=[0 1.12 0.814 0.655]
[OK] sig_x=2.1749e-02  sig_y=2.1730e-02  alpha_x=1.8941e+00  alpha_y=1.9242e+00  X=[0.464 1.11 0.291 0.68]
[OK] sig_x=7.5324e-03  sig_y=7.5133e-03  alpha_x=7.0043e+00  alpha_y=7.0346e+00  X=[1.4 1.05 0.0803 0.849]
[OK] sig_x=2.1278e-02  sig_y=2.1280e-02  alpha_x=-2.5689e+01  alpha_y=-2.5833e+01  X=[1.15 1.02 1.33 1.4]
[OK] sig_x=1.0853e-02  sig_y=1.0830e-02  alpha_x=8.3210e+00  alpha_y=8.3597e+00  X=[0.946 1.16 0 0.865]
[OK] sig_x=4.0573e-03  sig_y=4.0700e-03  alpha_x=-4.9608e+00  alpha_y=-5.0064e+00  X=[1.4 1.3 0.116 0.988]
[OK] sig_x=2.8830e-02  sig_y=2.8554e-02  alpha_x=-1.6743e+01  alpha_y=-1.6427e+01  X=[0 0 1.4 1.4]
[OK] sig_x=1.3882e-03  sig_y=1.3845e-03  alpha_x=-2.7401e-01  alpha_y=-2.9569e-01  X=[1.4 0.885 0.894 0.277]
[OK] sig_x=1.9619e-02  sig_y=1.9567e-02  alpha_x=1.1725e+01  alpha_y=1.1838e+01  X=[0 1.4 0.389 0.799]
[OK] sig_x=2.8938e-02  sig_y=2.8441e-02  alpha_x=-8.1890e+01  alpha_y=-8.1197e+01  X=[0.0869 0.321 1.15 1.14]
[OK] sig_x=3.5450e-03  sig_y=3.5431e-03  alpha_x=2.7659e+00  alpha_y=2.8021e+00  X=[0 1.4 0 0.96]
[OK] sig_x=1.7025e-02  sig_y=1.6971e-02  alpha_x=9.4741e+00  alpha_y=9.5000e+00  X=[0 0.577 0.4 0.367]
[OK] sig_x=2.7138e-02  sig_y=2.7085e-02  alpha_x=1.4251e+01  alpha_y=1.4270e+01  X=[0 1.4 0.239 0.76]
[OK] sig_x=1.4356e-02  sig_y=1.4406e-02  alpha_x=-1.1523e+01  alpha_y=-1.1653e+01  X=[1.4 0 1.4 1.4]
[OK] sig_x=2.8491e-02  sig_y=2.8291e-02  alpha_x=-8.3608e+01  alpha_y=-8.4767e+01  X=[0.267 0.179 1.4 0.949]
[OK] sig_x=2.1013e-02  sig_y=2.1101e-02  alpha_x=-4.9683e+01  alpha_y=-5.0357e+01  X=[1.4 0.0294 0.111 1.4]
[OK] sig_x=2.8868e-02  sig_y=2.8657e-02  alpha_x=1.2333e+01  alpha_y=1.2347e+01  X=[0.449 1.4 0.434 0.659]
[OK] sig_x=2.6585e-02  sig_y=2.6470e-02  alpha_x=1.4187e+01  alpha_y=1.4320e+01  X=[0 1.4 0.232 0.77]
[OK] sig_x=2.3490e-02  sig_y=2.3511e-02  alpha_x=-1.6323e+01  alpha_y=-1.6461e+01  X=[1.4 0.513 0.252 0.217]
[OK] sig_x=2.5940e-02  sig_y=2.6096e-02  alpha_x=7.7853e+00  alpha_y=7.8050e+00  X=[0 0.42 0.499 0.00216]
[OK] sig_x=4.1554e-03  sig_y=4.1800e-03  alpha_x=-1.1570e+00  alpha_y=-1.1900e+00  X=[1.09 0.499 0.0612 0.00594]
[OK] sig_x=2.8744e-02  sig_y=2.8923e-02  alpha_x=-9.0378e+01  alpha_y=-8.9372e+01  X=[1.4 1.4 0 1.4]
[OK] sig_x=2.6599e-02  sig_y=2.6820e-02  alpha_x=1.2989e+01  alpha_y=1.3072e+01  X=[0 0.251 0.511 0.273]
[OK] sig_x=2.5570e-02  sig_y=2.5697e-02  alpha_x=-6.2566e+00  alpha_y=-6.2542e+00  X=[0 0.656 0 0]
[OK] sig_x=2.8314e-03  sig_y=2.8216e-03  alpha_x=2.4977e+00  alpha_y=2.5164e+00  X=[1.4 0.305 0.276 0.877]
[OK] sig_x=2.6824e-02  sig_y=2.6846e-02  alpha_x=1.4322e+01  alpha_y=1.4361e+01  X=[0.701 1.4 0.152 0.767]
[OK] sig_x=1.6574e-03  sig_y=1.6700e-03  alpha_x=-1.6955e+00  alpha_y=-1.7342e+00  X=[1.4 0.383 0.359 0.952]
[OK] sig_x=2.6883e-02  sig_y=2.7087e-02  alpha_x=1.3130e+01  alpha_y=1.3186e+01  X=[0 0.371 0.403 0.382]
[OK] sig_x=1.2825e-03  sig_y=1.2906e-03  alpha_x=-6.8317e-01  alpha_y=-7.0689e-01  X=[0 0.762 0.35 0.593]
[OK] sig_x=1.2189e-03  sig_y=1.2277e-03  alpha_x=-8.4353e-01  alpha_y=-8.6844e-01  X=[0 0 0.667 0.531]
[OK] sig_x=9.0010e-03  sig_y=8.9499e-03  alpha_x=-3.5803e+00  alpha_y=-3.5425e+00  X=[0.595 0.845 0.951 1.13]
[OK] sig_x=1.0777e-02  sig_y=1.0796e-02  alpha_x=2.0339e+00  alpha_y=2.0728e+00  X=[1.4 0.0529 0.464 0.545]
[OK] sig_x=2.8744e-02  sig_y=2.8776e-02  alpha_x=-3.7105e+01  alpha_y=-3.6409e+01  X=[0 1.4 1.4 1.4]
[OK] sig_x=2.5508e-02  sig_y=2.5506e-02  alpha_x=1.0512e+01  alpha_y=1.0573e+01  X=[0 1.4 0.646 0.597]
[OK] sig_x=2.8498e-02  sig_y=2.8485e-02  alpha_x=-2.3422e+01  alpha_y=-2.3524e+01  X=[1.4 1.4 1.4 1.4]
