[OK] sig_x=2.9145e-02  sig_y=2.8992e-02  alpha_x=-5.1713e+01  alpha_y=-5.1667e+01  X=[0.732 1.07 0 0]
[OK] sig_x=8.4351e-03  sig_y=8.4401e-03  alpha_x=1.9481e+00  alpha_y=1.9827e+00  X=[1.4 0.171 0.638 0.45]
[OK] sig_x=2.8875e-02  sig_y=2.8648e-02  alpha_x=-1.0865e+02  alpha_y=-1.1135e+02  X=[0 1.4 0.356 0]
[OK] sig_x=2.8735e-02  sig_y=2.8821e-02  alpha_x=-7.8410e+01  alpha_y=-7.7900e+01  X=[1.4 1.36 0 0]
[OK] sig_x=1.3844e-02  sig_y=1.3819e-02  alpha_x=3.8017e+00  alpha_y=3.8337e+00  X=[0.00728 1.11 0.642 0.703]
[OK] sig_x=1.4723e-02  sig_y=1.4702e-02  alpha_x=3.4056e+00  alpha_y=3.4393e+00  X=[1.2 1.03 0.592 0.503]
[OK] sig_x=2.0722e-02  sig_y=2.0730e-02  alpha_x=-1.9401e+00  alpha_y=-1.9337e+00  X=[1.4 0.73 0.288 0.477]
[OK] sig_x=1.4315e-02  sig_y=1.4317e-02  alpha_x=-1.0884e+00  alpha_y=-1.0753e+00  X=[1.4 0.61 0.646 0.0887]
[OK] sig_x=3.9735e-03  sig_y=3.9531e-03  alpha_x=4.1329e+00  alpha_y=4.1380e+00  X=[1.4 1.14 0.00441 0.903]
[OK] sig_x=1.7089e-02  sig_y=1.7076e-02  alpha_x=1.5712e+00  alpha_y=1.6000e+00  X=[0.514 1.05 0.178 0.733]
[OK] sig_x=9.4726e-03  sig_y=9.4774e-03  alpha_x=4.2330e+00  alpha_y=4.2837e+00  X=[1.4 0.455 0.439 0.65]
[OK] sig_x=9.4902e-03  sig_y=9.4516e-03  alpha_x=7.4204e+00  alpha_y=7.4314e+00  X=[0.0952 0.296 0.683 0]
[OK] sig_x=2.3777e-02  sig_y=2.3783e-02  alpha_x=-2.8078e+01  alpha_y=-2.8263e+01  X=[0 1.29 0.955 0.957]
[OK] sig_x=5.0578e-03  sig_y=5.0659e-03  alpha_x=-4.0360e+00  alpha_y=-4.0573e+00  X=[1.06 0.262 0.747 0]
[OK] sig_x=1.1076e-02  sig_y=1.1050e-02  alpha_x=-3.4766e+00  alpha_y=-3.4613e+00  X=[0.966 0.892 0.864 0.0113]
[OK] sig_x=7.3491e-03  sig_y=7.3058e-03  alpha_x=4.5977e+00  alpha_y=4.5960e+00  X=[0.671 0.53 0.501 0.286]
[OK] sig_x=2.2278e-03  sig_y=2.1994e-03  alpha_x=4.4986e-01  alpha_y=4.4947e-01  X=[1.4 0 0.901 0]
[OK] sig_x=2.6392e-02  sig_y=2.6364e-02  alpha_x=-3.1420e+01  alpha_y=-3.1759e+01  X=[1.4 0.95 1.39 1.2]
[OK] sig_x=1.1716e-02  sig_y=1.1704e-02  alpha_x=2.8628e+00  alpha_y=2.8964e+00  X=[1.4 0.785 0.662 0.362]
[OK] sig_x=1.4770e-03  sig_y=1.4630e-03  alpha_x=1.2411e+00  alpha_y=1.2412e+00  X=[1.4 0.335 0.0956 0.933]
[OK] sig_x=2.6832e-02  sig_y=2.7009e-02  alpha_x=-3.5768e+01  alpha_y=-3.6001e+01  X=[0 0 0.882 0.453]
[OK] sig_x=1.6292e-02  sig_y=1.6258e-02  alpha_x=5.9204e-01  alpha_y=6.1497e-01  X=[0 1.14 0.848 0.375]
[OK] sig_x=2.2490e-02  sig_y=2.2488e-02  alpha_x=-9.9623e+00  alpha_y=-1.0032e+01  X=[1.4 0.509 0.0404 0.394]
[OK] sig_x=3.1291e-03  sig_y=3.1063e-03  alpha_x=3.2284e+00  alpha_y=3.2226e+00  X=[1.4 1.34 0.00419 0.916]
[OK] sig_x=2.6156e-02  sig_y=2.6171e-02  alpha_x=1.0189e+01  alpha_y=1.0251e+01  X=[0 1.24 0 0.768]
[OK] sig_x=8.7377e-03  sig_y=8.7082e-03  alpha_x=6.2676e+00  alpha_y=6.2878e+00  X=[1.4 1.25 0.637 0.597]
[OK] sig_x=2.4448e-02  sig_y=2.4397e-02  alpha_x=-3.8260e+01  alpha_y=-3.8417e+01  X=[0 0.775 0.949 0]
