[INFEASIBLE] sig_x=2.8745e-02  sig_y=2.8838e-02  alpha_x=-8.2170e+01  alpha_y=-8.1262e+01  X=[1.39 1.39 0 1.23e-06]
[OK] sig_x=1.1244e-02  sig_y=1.1256e-02  alpha_x=-2.6261e-01  alpha_y=-2.4522e-01  X=[1.4 0.206 0.65 0.208]
[OK] sig_x=5.9037e-03  sig_y=5.8990e-03  alpha_x=-5.0001e+00  alpha_y=-5.0504e+00  X=[0 1.4 0.373 0.984]
[OK] sig_x=9.9396e-03  sig_y=9.9484e-03  alpha_x=1.6493e-03  alpha_y=2.1522e-02  X=[1.4 0.000292 0.701 0.00349]
[INFEASIBLE] sig_x=2.8928e-02  sig_y=2.8800e-02  alpha_x=-8.2953e+01  alpha_y=-8.1828e+01  X=[0.268 0.0311 0.816 1.03]
[OK] sig_x=6.2158e-03  sig_y=6.2130e-03  alpha_x=-3.3866e+00  alpha_y=-3.3854e+00  X=[1.2 0.0898 0.793 0]
[INFEASIBLE] sig_x=2.8219e-02  sig_y=2.8133e-02  alpha_x=-2.7646e+01  alpha_y=-2.7692e+01  X=[0.473 1.06 0.0515 0.352]
[INFEASIBLE] sig_x=1.9275e-02  sig_y=1.9333e-02  alpha_x=-4.0808e+01  alpha_y=-4.1326e+01  X=[1.4 0.0358 0.81 1.4]
[INFEASIBLE] sig_x=1.6815e-02  sig_y=1.6800e-02  alpha_x=-2.4727e+01  alpha_y=-2.4825e+01  X=[0.352 0.348 0.134 1.01]
[INFEASIBLE] sig_x=2.8781e-02  sig_y=2.8562e-02  alpha_x=-7.5831e+01  alpha_y=-7.4581e+01  X=[0.378 1.24 0.342 0]
[OK] sig_x=1.2024e-02  sig_y=1.2008e-02  alpha_x=-5.0714e-01  alpha_y=-4.8784e-01  X=[1.25 0.854 0.74 0]
[OK] sig_x=6.8025e-03  sig_y=6.8240e-03  alpha_x=-5.9829e+00  alpha_y=-6.0398e+00  X=[0.0324 1.28 0.127 1.04]
[OK] sig_x=1.3599e-02  sig_y=1.3574e-02  alpha_x=3.9060e+00  alpha_y=3.9384e+00  X=[0.222 1.11 0.625 0.712]
[OK] sig_x=4.2850e-03  sig_y=4.2840e-03  alpha_x=3.3750e-01  alpha_y=3.6011e-01  X=[1.24 0.363 0.41 0.786]
[OK] sig_x=1.0575e-02  sig_y=1.0551e-02  alpha_x=4.2953e+00  alpha_y=4.3253e+00  X=[1.26 1.04 0.693 0.477]
[OK] sig_x=4.2928e-03  sig_y=4.2940e-03  alpha_x=8.9502e-01  alpha_y=9.2144e-01  X=[1.29 0.173 0.416 0.773]
