[OK] sig_x=1.6347e-02  sig_y=1.6345e-02  alpha_x=2.2953e+02  alpha_y=2.2927e+02  X=[1.4 0.781 0.439 0.515]
[OK] sig_x=1.4206e-03  sig_y=1.4088e-03  alpha_x=-5.0973e+00  alpha_y=-6.4512e+00  X=[1.4 0.66 0.883 0.353]
[OK] sig_x=1.0536e-02  sig_y=1.0540e-02  alpha_x=1.5108e+02  alpha_y=1.5143e+02  X=[1.4 0.462 0.613 0.428]
[OK] sig_x=3.2125e-03  sig_y=3.2256e-03  alpha_x=-5.0589e+02  alpha_y=-5.0349e+02  X=[0.399 0.21 0.732 0.368]
[OK] sig_x=2.8259e-02  sig_y=2.8174e-02  alpha_x=-6.7133e+03  alpha_y=-6.6181e+03  X=[1.14 1.4 1.06 0.89]
[OK] sig_x=6.0995e-03  sig_y=6.1412e-03  alpha_x=-4.0866e+02  alpha_y=-4.1025e+02  X=[1.4 0.418 1.03 0]
[OK] sig_x=3.5268e-03  sig_y=3.5528e-03  alpha_x=-2.3451e+02  alpha_y=-2.3563e+02  X=[1.4 0.524 0.909 0.534]
[OK] sig_x=2.4372e-03  sig_y=2.4556e-03  alpha_x=-2.4369e+02  alpha_y=-2.4508e+02  X=[1.4 0 0.275 0.992]
[OK] sig_x=2.1057e-02  sig_y=2.1032e-02  alpha_x=6.6455e+02  alpha_y=6.6055e+02  X=[0.431 1.16 0.471 0.667]
[OK] sig_x=2.3710e-02  sig_y=2.3651e-02  alpha_x=9.9414e+02  alpha_y=9.8304e+02  X=[0.54 0.414 0.101 0.497]
[OK] sig_x=3.0237e-03  sig_y=3.0466e-03  alpha_x=-9.3297e+01  alpha_y=-9.3883e+01  X=[0.654 0.781 0.024 0.4]
[OK] sig_x=3.4646e-03  sig_y=3.4281e-03  alpha_x=1.5166e+02  alpha_y=1.4846e+02  X=[0.524 0.715 0.286 0.458]
[OK] sig_x=1.6958e-02  sig_y=1.6898e-02  alpha_x=1.1133e+03  alpha_y=1.0985e+03  X=[0.749 0.0696 0.331 0.527]
[OK] sig_x=8.4171e-03  sig_y=8.4514e-03  alpha_x=-7.9644e+02  alpha_y=-7.9459e+02  X=[0 1.09 1.21 0.893]
[OK] sig_x=1.7374e-02  sig_y=1.7377e-02  alpha_x=-7.8576e+02  alpha_y=-7.7821e+02  X=[0.814 0.925 0.39 0.383]
[OK] sig_x=1.1739e-02  sig_y=1.1722e-02  alpha_x=-2.8932e+03  alpha_y=-2.8583e+03  X=[0.797 0.103 0.0701 1.01]
[OK] sig_x=2.2176e-02  sig_y=2.2119e-02  alpha_x=3.4286e+03  alpha_y=3.3873e+03  X=[0.317 0.0789 0.156 0.676]
[OK] sig_x=9.4263e-03  sig_y=9.4257e-03  alpha_x=-2.4803e+02  alpha_y=-2.4471e+02  X=[1.13 0.655 0.697 0.212]
[OK] sig_x=7.3723e-03  sig_y=7.3949e-03  alpha_x=3.2637e+01  alpha_y=3.3690e+01  X=[1.3 0.224 0.244 0.666]
[OK] sig_x=2.8911e-02  sig_y=2.9057e-02  alpha_x=-1.7439e+03  alpha_y=-1.7484e+03  X=[1.35 1.16 0 0.163]
[OK] sig_x=1.5031e-02  sig_y=1.4999e-02  alpha_x=-1.2858e+03  alpha_y=-1.2685e+03  X=[0.748 0.735 0.908 0.356]
[OK] sig_x=1.8936e-02  sig_y=1.8908e-02  alpha_x=-2.1193e+03  alpha_y=-2.0942e+03  X=[0.399 0.804 0.899 0.205]
[OK] sig_x=5.7645e-03  sig_y=5.7702e-03  alpha_x=2.6403e+01  alpha_y=2.7504e+01  X=[1.21 0.511 0.321 0.746]
[OK] sig_x=2.2308e-03  sig_y=2.2178e-03  alpha_x=1.5482e+02  alpha_y=1.5345e+02  X=[1.4 0.322 0.408 0.859]
[OK] sig_x=8.1026e-03  sig_y=8.1093e-03  alpha_x=1.7610e+02  alpha_y=1.7638e+02  X=[1.4 0.0574 0.584 0.539]
[OK] sig_x=2.1337e-02  sig_y=2.1320e-02  alpha_x=-7.7736e+02  alpha_y=-7.6771e+02  X=[0 1.06 0.569 0.498]
[OK] sig_x=8.8280e-03  sig_y=8.8296e-03  alpha_x=2.7616e+01  alpha_y=2.8774e+01  X=[1.22 0.657 0.504 0.592]
[OK] sig_x=4.3675e-03  sig_y=4.3875e-03  alpha_x=-1.3268e+02  alpha_y=-1.3191e+02  X=[1.16 0.132 0.664 0.127]
[OK] sig_x=9.8093e-04  sig_y=9.8484e-04  alpha_x=-2.9965e+01  alpha_y=-3.1163e+01  X=[0.906 0.32 0.514 0.623]
[OK] sig_x=1.5771e-03  sig_y=1.5705e-03  alpha_x=-2.1156e+01  alpha_y=-2.3342e+01  X=[0.302 1.11 0.988 0.747]
[OK] sig_x=1.7922e-02  sig_y=1.7914e-02  alpha_x=-1.5984e+02  alpha_y=-1.5640e+02  X=[0.59 1.02 0 0.682]
[OK] sig_x=2.9089e-02  sig_y=2.8905e-02  alpha_x=1.0765e+02  alpha_y=1.0531e+02  X=[0.196 1.34 0.672 0.349]
[OK] sig_x=3.3895e-03  sig_y=3.3669e-03  alpha_x=8.4525e+01  alpha_y=8.4162e+01  X=[1.4 0.252 0.847 0.251]
[OK] sig_x=3.2752e-03  sig_y=3.2528e-03  alpha_x=1.8955e+02  alpha_y=1.8720e+02  X=[1.4 0.845 0.769 0.525]
[OK] sig_x=2.8816e-02  sig_y=2.8571e-02  alpha_x=-1.0877e+03  alpha_y=-1.0586e+03  X=[0.344 1.4 0.461 0.305]
[OK] sig_x=1.2976e-02  sig_y=1.2971e-02  alpha_x=1.7434e+02  alpha_y=1.7447e+02  X=[1.07 0.906 0.142 0.705]
[OK] sig_x=2.7475e-02  sig_y=2.7698e-02  alpha_x=-4.1531e+03  alpha_y=-4.1865e+03  X=[0.0756 0.766 1.07 0.793]
[OK] sig_x=2.8261e-02  sig_y=2.8404e-02  alpha_x=-5.8599e+03  alpha_y=-5.8706e+03  X=[0.739 0.421 0.899 1.3]
[OK] sig_x=2.8697e-02  sig_y=2.8830e-02  alpha_x=-1.1648e+03  alpha_y=-1.1640e+03  X=[0.492 1.4 0.139 0.409]
[OK] sig_x=2.9166e-02  sig_y=2.8910e-02  alpha_x=-7.6881e+03  alpha_y=-7.4927e+03  X=[0.0524 1.4 1.08 0.828]
[OK] sig_x=1.1150e-02  sig_y=1.1177e-02  alpha_x=-1.2608e+03  alpha_y=-1.2548e+03  X=[1.17 1.04 1.06 0.654]
[OK] sig_x=2.6085e-02  sig_y=2.6091e-02  alpha_x=-4.7991e+02  alpha_y=-4.7424e+02  X=[0.764 1.21 0.695 0.213]
