[OK] sig_x=8.3124e-03  sig_y=8.3170e-03  alpha_x=1.9656e+00  alpha_y=2.0002e+00  X=[1.4 0.169 0.641 0.451]
[OK] sig_x=2.3889e-02  sig_y=2.3830e-02  alpha_x=-3.0703e+01  alpha_y=-3.0736e+01  X=[0 0.912 1.1 0]
[OK] sig_x=2.3146e-02  sig_y=2.3138e-02  alpha_x=-1.1711e+01  alpha_y=-1.1770e+01  X=[1.4 0.762 0.48 0]
[OK] sig_x=2.8706e-02  sig_y=2.8280e-02  alpha_x=-1.4016e+02  alpha_y=-1.4193e+02  X=[0.136 1.4 0.275 0]
[OK] sig_x=2.4932e-02  sig_y=2.5050e-02  alpha_x=-6.6169e+01  alpha_y=-6.6260e+01  X=[0.867 0.473 0.446 1.4]
[OK] sig_x=1.8243e-02  sig_y=1.8207e-02  alpha_x=-2.6226e+00  alpha_y=-2.6075e+00  X=[0 1.13 0.884 0]
[OK] sig_x=1.0489e-02  sig_y=1.0475e-02  alpha_x=-1.6690e+01  alpha_y=-1.6739e+01  X=[0.838 0 0.686 0.735]
[OK] sig_x=2.8920e-02  sig_y=2.8768e-02  alpha_x=-2.5002e+01  alpha_y=-2.4977e+01  X=[1.4 1.07 0.0131 0.338]
[OK] sig_x=2.5266e-02  sig_y=2.5131e-02  alpha_x=-5.8954e+01  alpha_y=-5.9314e+01  X=[1.4 0.844 0.79 1.34]
[OK] sig_x=1.9946e-02  sig_y=2.0021e-02  alpha_x=-1.1298e+01  alpha_y=-1.1396e+01  X=[1.4 0.273 0.403 0]
[OK] sig_x=7.8027e-03  sig_y=7.8133e-03  alpha_x=-7.8031e+00  alpha_y=-7.8562e+00  X=[0 0.119 0.805 0]
[OK] sig_x=2.8815e-02  sig_y=2.8654e-02  alpha_x=-5.8284e+01  alpha_y=-5.7160e+01  X=[0.178 0.341 0.155 0]
[OK] sig_x=5.0936e-03  sig_y=5.0722e-03  alpha_x=5.1719e+00  alpha_y=5.1830e+00  X=[1.4 1.16 0.111 0.885]
[OK] sig_x=4.0184e-03  sig_y=3.9909e-03  alpha_x=2.3338e+00  alpha_y=2.3370e+00  X=[1.4 1.03 0.835 0.275]
[OK] sig_x=8.2585e-03  sig_y=8.2169e-03  alpha_x=5.6682e+00  alpha_y=5.6711e+00  X=[0.589 0.482 0.576 0.183]
[OK] sig_x=1.7171e-02  sig_y=1.7156e-02  alpha_x=6.3538e+00  alpha_y=6.4040e+00  X=[1.4 0.971 0.338 0.615]
[OK] sig_x=4.3929e-03  sig_y=4.4016e-03  alpha_x=-4.2737e+00  alpha_y=-4.3013e+00  X=[0.979 0.134 0.762 0]
[OK] sig_x=1.3009e-03  sig_y=1.3085e-03  alpha_x=-1.1159e+00  alpha_y=-1.1475e+00  X=[1.4 0.172 0.303 0.956]
[OK] sig_x=1.4766e-02  sig_y=1.4746e-02  alpha_x=-9.7952e+00  alpha_y=-9.8128e+00  X=[0.739 0.913 0.797 0.12]
[OK] sig_x=2.9371e-03  sig_y=2.9097e-03  alpha_x=1.3219e+00  alpha_y=1.3229e+00  X=[1.4 0.756 0.875 0]
[OK] sig_x=2.5772e-02  sig_y=2.5744e-02  alpha_x=-5.5604e+00  alpha_y=-5.5740e+00  X=[0 1.1 0.287 0.593]
[OK] sig_x=2.8787e-03  sig_y=2.8464e-03  alpha_x=1.3570e+00  alpha_y=1.3495e+00  X=[0.386 1.18 0.955 0.544]
