[OK] loss=2.622e+02 sigma_x=1.070e-02 (tgt=7.500e-03)  sigma_y=1.068e-02 (tgt=7.500e-03)  alpha_x=-1.144e+01 (tgt=0.000e+00)  alpha_y=-1.144e+01 (tgt=0.000e+00) X=[1.04 0.422 0.899 0.0711]
[OK] loss=3.362e+02 sigma_x=1.131e-02 (tgt=7.500e-03)  sigma_y=1.129e-02 (tgt=7.500e-03)  alpha_x=-1.295e+01 (tgt=0.000e+00)  alpha_y=-1.296e+01 (tgt=0.000e+00) X=[1.01 0.426 0.9 0.0359]
[OK] loss=4.510e+02 sigma_x=1.191e-02 (tgt=7.500e-03)  sigma_y=1.188e-02 (tgt=7.500e-03)  alpha_x=-1.500e+01 (tgt=0.000e+00)  alpha_y=-1.501e+01 (tgt=0.000e+00) X=[1 0.325 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]

--- Optimisation Complete ---
Best solution:
loss=3.502e-01 sigma_x=5.722e-03 (tgt=7.500e-03)  sigma_y=5.694e-03 (tgt=7.500e-03)  alpha_x=3.334e-01 (tgt=0.000e+00)  alpha_y=3.535e-01 (tgt=0.000e+00) X=[1.24 0.688 0.887 0.0312]
[OK] loss=2.632e+02 sigma_x=1.071e-02 (tgt=7.500e-03)  sigma_y=1.068e-02 (tgt=7.500e-03)  alpha_x=-1.146e+01 (tgt=0.000e+00)  alpha_y=-1.146e+01 (tgt=0.000e+00) X=[1.04 0.422 0.9 0.0709]
[OK] loss=3.374e+02 sigma_x=1.132e-02 (tgt=7.500e-03)  sigma_y=1.129e-02 (tgt=7.500e-03)  alpha_x=-1.297e+01 (tgt=0.000e+00)  alpha_y=-1.298e+01 (tgt=0.000e+00) X=[1.01 0.426 0.9 0.0353]
[OK] loss=4.514e+02 sigma_x=1.191e-02 (tgt=7.500e-03)  sigma_y=1.188e-02 (tgt=7.500e-03)  alpha_x=-1.500e+01 (tgt=0.000e+00)  alpha_y=-1.502e+01 (tgt=0.000e+00) X=[1 0.324 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
[OK] loss=4.650e+02 sigma_x=1.196e-02 (tgt=7.500e-03)  sigma_y=1.194e-02 (tgt=7.500e-03)  alpha_x=-1.523e+01 (tgt=0.000e+00)  alpha_y=-1.525e+01 (tgt=0.000e+00) X=[1 0.3 0.9 0]
